x,y,u,v
71100.0,0.0,0.0,1.66
71200.0,0.0,0.0,1.62
71300.0,0.0,0.0,1.56
71400.0,0.0,0.0,1.52
71500.0,0.0,0.0,1.45
71600.0,0.0,0.0,1.42
71700.0,0.0,0.0,1.35
71800.0,0.0,0.0,1.3
71900.0,0.0,0.0,1.25
72000.0,0.0,0.0,1.2
72100.0,0.0,0.0,1.14
72200.0,0.0,0.0,1.09
72300.0,0.0,0.0,1.04
72400.0,0.0,0.0,0.99
72500.0,0.0,0.0,0.95
72600.0,0.0,0.0,0.92
72700.0,0.0,0.0,0.87
72800.0,0.0,0.0,0.84
72900.0,0.0,0.0,0.81
73000.0,0.0,0.0,0.76
73100.0,0.0,0.0,0.72
73200.0,0.0,0.0,0.7
73300.0,0.0,0.0,0.66
73400.0,0.0,0.0,0.64
73500.0,0.0,0.0,0.61
73600.0,0.0,0.0,0.58
73700.0,0.0,0.0,0.54
73800.0,0.0,0.0,0.52
73900.0,0.0,0.0,0.49
74000.0,0.0,0.0,0.48
74100.0,0.0,0.0,0.46
74200.0,0.0,0.0,0.44
74300.0,0.0,0.0,0.42
74400.0,0.0,0.0,0.4
74500.0,0.0,0.0,0.38
74600.0,0.0,0.0,0.37
74700.0,0.0,0.0,0.35
74800.0,0.0,0.0,0.34
74900.0,0.0,0.0,0.33
75000.0,0.0,0.0,0.31
75100.0,0.0,0.0,0.3
75200.0,0.0,0.0,0.29
75300.0,0.0,0.0,0.29
75400.0,0.0,0.0,0.27
75500.0,0.0,0.0,0.26
75600.0,0.0,0.0,0.25
75700.0,0.0,0.0,0.25
75800.0,0.0,0.0,0.25
75900.0,0.0,0.0,0.24
76000.0,0.0,0.0,0.23
76100.0,0.0,0.0,0.22
76200.0,0.0,0.0,0.2
76300.0,0.0,0.0,0.21
76400.0,0.0,0.0,0.2
76500.0,0.0,0.0,0.2
76600.0,0.0,0.0,0.18
76700.0,0.0,0.0,0.18
76800.0,0.0,0.0,0.18
76900.0,0.0,0.0,0.17
77000.0,0.0,0.01,0.17
77100.0,0.0,0.01,0.16
77200.0,0.0,0.01,0.16
77300.0,0.0,0.01,0.16
77400.0,0.0,0.01,0.16
77500.0,0.0,0.0,0.15
77600.0,0.0,0.01,0.15
77700.0,0.0,0.0,0.15
77800.0,0.0,0.0,0.14
77900.0,0.0,0.0,0.13
78000.0,0.0,0.0,0.14
78100.0,0.0,0.0,0.13
25600.0,100.0,-0.69,0.01
25700.0,100.0,-0.68,0.01
25800.0,100.0,-0.66,0.01
25900.0,100.0,-0.64,0.01
26000.0,100.0,-0.63,0.01
26100.0,100.0,-0.62,0.01
26200.0,100.0,-0.59,0.01
26300.0,100.0,-0.55,0.01
26400.0,100.0,-0.5,0.01
26500.0,100.0,-0.44,0.01
26600.0,100.0,-0.37,0.01
26700.0,100.0,-0.29,0.01
26800.0,100.0,-0.21,0.01
26900.0,100.0,-0.13,0.01
27000.0,100.0,-0.07,0.01
27100.0,100.0,-0.01,0.01
27200.0,100.0,0.03,0.01
27300.0,100.0,0.05,0.01
27400.0,100.0,0.08,0.01
27500.0,100.0,0.1,0.01
27600.0,100.0,0.11,0.01
27700.0,100.0,0.13,0.0
27800.0,100.0,0.14,0.0
27900.0,100.0,0.16,0.0
28000.0,100.0,0.18,0.0
28100.0,100.0,0.2,0.0
28200.0,100.0,0.23,0.0
28300.0,100.0,0.25,0.0
28400.0,100.0,0.28,0.0
28500.0,100.0,0.31,0.0
28600.0,100.0,0.34,0.0
28700.0,100.0,0.36,0.0
28800.0,100.0,0.39,0.0
28900.0,100.0,0.42,0.0
29000.0,100.0,0.46,0.0
29100.0,100.0,0.49,0.0
29200.0,100.0,0.53,0.0
29300.0,100.0,0.57,0.0
29400.0,100.0,0.61,0.0
29500.0,100.0,0.66,0.0
29600.0,100.0,0.73,0.0
29700.0,100.0,0.79,0.0
29800.0,100.0,0.87,0.0
29900.0,100.0,0.96,0.0
30000.0,100.0,1.06,-0.0
30100.0,100.0,1.17,-0.0
30200.0,100.0,1.26,-0.0
30300.0,100.0,1.35,-0.01
30400.0,100.0,1.42,-0.01
30500.0,100.0,1.47,-0.0
30600.0,100.0,1.5,-0.0
30700.0,100.0,1.53,-0.01
30800.0,100.0,1.56,-0.01
30900.0,100.0,1.58,-0.01
31000.0,100.0,1.59,-0.01
31100.0,100.0,1.61,-0.01
31200.0,100.0,1.62,-0.01
31300.0,100.0,1.66,-0.01
31400.0,100.0,1.68,-0.01
31500.0,100.0,1.71,-0.01
31600.0,100.0,1.73,-0.01
31700.0,100.0,1.74,-0.01
31800.0,100.0,1.76,-0.01
31900.0,100.0,1.76,-0.01
32000.0,100.0,1.77,-0.01
32100.0,100.0,1.75,-0.01
32200.0,100.0,1.72,-0.01
32300.0,100.0,1.68,-0.01
32400.0,100.0,1.61,-0.01
32500.0,100.0,1.52,-0.01
32600.0,100.0,1.43,-0.01
32700.0,100.0,1.35,-0.01
32800.0,100.0,1.28,-0.01
32900.0,100.0,1.25,-0.01
33000.0,100.0,1.22,-0.01
33100.0,100.0,1.21,-0.02
33200.0,100.0,1.21,-0.02
33300.0,100.0,1.21,-0.01
33400.0,100.0,1.21,-0.02
33500.0,100.0,1.22,-0.01
33600.0,100.0,1.22,-0.01
33700.0,100.0,1.25,-0.02
33800.0,100.0,1.27,-0.01
33900.0,100.0,1.29,-0.01
34000.0,100.0,1.32,-0.02
34100.0,100.0,1.33,-0.02
34200.0,100.0,1.33,-0.01
34300.0,100.0,1.32,-0.02
34400.0,100.0,1.3,-0.02
34500.0,100.0,1.27,-0.01
34600.0,100.0,1.22,-0.01
34700.0,100.0,1.17,-0.02
34800.0,100.0,1.11,-0.02
34900.0,100.0,1.05,-0.02
35000.0,100.0,0.99,-0.02
35100.0,100.0,0.92,-0.02
35200.0,100.0,0.84,-0.02
35300.0,100.0,0.74,-0.02
35400.0,100.0,0.65,-0.02
35500.0,100.0,0.58,-0.02
35600.0,100.0,0.54,-0.02
35700.0,100.0,0.5,-0.02
35800.0,100.0,0.5,-0.02
35900.0,100.0,0.51,-0.02
36000.0,100.0,0.53,-0.02
36100.0,100.0,0.56,-0.02
36200.0,100.0,0.61,-0.02
36300.0,100.0,0.66,-0.02
36400.0,100.0,0.7,-0.02
36500.0,100.0,0.74,-0.02
36600.0,100.0,0.76,-0.02
36700.0,100.0,0.77,-0.02
36800.0,100.0,0.75,-0.02
36900.0,100.0,0.72,-0.02
37000.0,100.0,0.7,-0.02
37100.0,100.0,0.67,-0.02
37200.0,100.0,0.65,-0.02
